CP,Market Size,Latitude,Longitude
5410,182098,40.158202,-4.9299
5412,147419,40.274631,-4.980552
5413,129706,40.253349,-5.001345
5414,98667,40.293778,-5.009145
5415,56308,40.249534,-5.103476
5416,194715,40.273876,-5.085899
5417,96396,40.225935,-5.132783
5418,120828,40.142605,-4.981202
5420,906656,40.297017,-4.60082
5427,69722,40.232019,-4.620745
5428,105018,40.33581,-4.577919
28007,32754527,40.406301,-3.66993
5430,529677,40.299558,-4.636534
5440,445836,40.316998,-4.698012
5450,282791,40.283577,-4.767864
5460,95131,40.297881,-4.883185
5461,124274,40.280106,-4.82096
5470,148524,40.242607,-4.909782
5480,946434,40.155924,-5.243635
5489,8018,40.170041,-5.339664
5490,137461,40.205248,-4.933795
5492,90520,40.172807,-5.166016
5500,409127,40.466536,-5.325936
5510,79927,40.509178,-5.405081
5514,67410,40.52964,-5.263873
5515,17520,40.459615,-5.37269
5516,27329,40.469272,-5.407209
5520,89821,40.611655,-4.839778
5530,90832,40.597015,-4.898752
5540,105636,40.590745,-5.014397
5560,108808,40.573681,-5.065399
5571,63859,40.54363,-5.213945
5580,38332,40.381777,-5.42112
5591,22093,40.576509,-5.180358
5592,27766,40.439936,-5.331492
5593,28322,40.41092,-5.409336
5600,585891,40.356906,-5.523675
5610,27999,40.385844,-5.63528
5619,51458,40.415864,-5.605717
5620,36524,40.347166,-5.554509
5621,41500,40.263734,-5.63528
5630,25480,40.317255,-5.413918
5631,56928,40.352355,-5.301429
5633,32865,40.324101,-5.216228
5634,77129,40.357579,-5.200247
5635,96160,40.363596,-5.143858
5690,48913,40.315632,-5.441747
5692,23710,40.418384,-5.506952
5693,27425,40.297867,-5.594224
5694,16605,40.399034,-5.605971
5695,93373,40.436487,-5.466641
5696,8112,40.41759,-5.490234
5697,75375,40.29285,-5.539746
6001,1596834,38.879978,-6.973261
6002,1436916,38.877699,-6.96789
6003,1889527,38.872498,-6.96789
6004,2032820,38.871488,-6.973933
6005,1891597,38.874457,-6.978633
6006,4129561,38.934483,-6.996092
6007,2547246,38.899714,-6.969233
6008,3166560,38.882959,-6.945069
6009,4040970,38.862157,-6.945069
6010,7359970,38.721664,-6.89945
6011,6681342,38.804491,-7.082116
6100,2065516,38.682644,-7.102666
6105,195282,38.543604,-7.254497
6106,154155,38.632433,-7.158152
6107,11146,38.725833,-7.213611
6109,27869,38.746432,-7.105658
6110,552832,38.375054,-7.166905
6120,1004842,38.276875,-6.918167
6129,497888,38.308063,-6.996092
6130,758186,38.671173,-6.981318
6131,288165,38.517011,-7.070012
6132,332168,38.444347,-6.973261
6133,116311,38.517533,-6.996092
6134,128663,38.238627,-7.10364
6140,1018185,38.876375,-6.769475
6150,782114,38.653087,-6.642433
6160,643668,38.51442,-6.849841
6170,369943,38.717028,-6.823041
6171,233162,38.613437,-6.821032
6172,241860,38.635903,-6.760106
6173,116553,38.595358,-6.738695
6174,350761,38.51032,-6.78554
6175,309571,38.490011,-6.683861
6176,351616,38.54607,-6.652454
6177,70087,38.380996,-6.809311
6178,217337,38.365782,-6.789223
6180,550095,38.938331,-6.931648
6181,8411,39.020477,-6.770814
6182,9870,38.954524,-6.744047
6183,174041,38.922615,-6.84582
6184,397862,38.927613,-6.760106
6185,532535,38.890792,-6.699905
6186,597661,38.927801,-6.689209
6187,8973,38.852235,-6.680519
6190,276031,39.109469,-6.689209
6191,306458,39.175302,-6.625068
6192,374124,39.131992,-6.847831
6193,29967,39.071731,-6.781524
6194,257541,38.967378,-6.923597
6195,283546,38.881024,-6.84582
6196,208566,38.725145,-6.671163
6197,113245,38.690674,-6.7096
6200,7350534,38.691458,-6.405842
6207,1027615,38.647492,-6.486316
6208,272053,38.61221,-6.510309
6209,467023,38.731553,-6.546316
6210,440682,38.783333,-6.366667
6220,2552608,38.562691,-6.341219
6225,630318,38.551189,-6.238922
6226,86537,38.479489,-6.184521
6227,156105,38.464084,-6.07851
6228,657453,38.551502,-6.069011
6229,96647,38.583024,-6.205745
6230,1620348,38.449233,-6.382451
6240,954789,38.210908,-6.301343
6249,167335,38.300464,-6.317461
6250,406399,38.298546,-6.209725
6260,878551,38.046986,-6.21636
6270,350357,38.117479,-6.471658
6280,420995,38.067644,-6.539646
6290,329650,38.354981,-6.165234
6291,126835,38.175603,-6.173912
6292,172982,38.107075,-6.336566
6293,246186,38.08002,-6.386443
6300,4012367,38.42253,-6.415722
6310,517662,38.395815,-6.401081
6320,212039,38.34279,-6.411729
6329,53875,38.334724,-6.474989
6330,355905,38.265937,-6.47299
6340,1047317,38.169079,-6.654458
6350,443368,38.143438,-6.689209
6360,1249044,38.526728,-6.449011
6370,556246,38.404453,-6.599696
6378,47928,38.327386,-6.536312
6380,1834560,38.321214,-6.774697
6389,164846,38.275878,-6.74505
6390,210627,38.501707,-6.546316
6391,51169,38.456082,-6.519642
6392,6770,38.383167,-6.325248
6393,144459,38.397579,-6.476322
6394,193166,38.146256,-6.557655
6400,8068289,38.954463,-5.861898
6410,1010340,39.075634,-6.038142
6411,378256,38.969482,-5.993834
6412,378088,39.027837,-5.932385
6413,84521,38.909226,-5.95154
6415,62408,38.969763,-6.026235
6420,1261073,38.819742,-5.435853
6427,487882,38.588169,-5.445022
6428,2910,38.64078,-5.536138
6429,5760,38.680595,-5.509247
6430,683036,38.649939,-5.658941
6439,186420,38.64861,-5.60506
6440,107051,38.674596,-5.63528
6441,163011,38.645282,-5.741172
6442,81609,38.577712,-5.83868
